fecha;nombre;area;circuito;estructura;lat;long;observaciones;apoyoTipo;apoyoCantidad;configuracion;disposicion;altura;característicasPlaca;avifauna;avifaunaEquipos;crucetaSup;crucetaInf;bayonetaTipo;bayonetaObservaciones;templeteCant;templeteAvifauna;aisladorTipo;aisladorA;aisladorB;aisladorC;dpsA;dpsB;dpsC;seccionador;equiposAdicionales;sptBajante;sptConexion;sptCantidad;sptEstado;fotoPath,,,,,,
2025-05-28 15:22:47;;Akira ;Akira -Akira Noreste ;P-333c;4.3479548;-72.7127466;pullover con aisladores de 8 campanas ;P;1;Pullover;Canadiense;14;;Sí;grapas y puentes ;;;Doble;;1;1;Aislador;;;;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_152430_6574704327574735840.jpg,,,,,,
2025-05-28 15:17:10;;Akira Noreste;Akira -Akira Noreste ;P-34c;4.3479548;-72.7127466;terminal con derivación para subterranizar, con seccionadores monopolares y premoldeados , sin templete por vano flojo;P;1;Otro;Otro;14;1050;Sí;grapas y crucetas ;1;2;Doble;bayonetas cortas ;;;Aislador;;;;1;1;1;Sí;seccionadores monopolares y dps;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_152226_1400267481695363927.jpg,,,,
2025-05-28 14:48:31;;Akira ;Akira -Akira Noreste ;p-04c;4.3480483;-72.7130503;Retención canadiense con dps;P;1;Retención;Canadiense;14;;Sí;grapas y dps ;1;1;Doble;bayonetas cortas;2;2;Aislador;;;;1;1;1;No;dps;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_145213_4459864942990581006.jpg,,,,,,
2025-05-28 14:46:30;;Akira ;Akira -Akira Noreste ;p-03c;4.3480483;-72.7130503;suspensión canadiense ;P;1;Suspensión;Canadiense;14;1050;No;;1;r;Sencilla;;;;Aislador;;;;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_144815_2514008042753954794.jpg,,,,,,
2025-05-28 14:42:17;;Akira ;Akira -Akira Noreste;p-02c;4.3413863;-72.715766;poste con dos seccionadores monopolares, 1 reconectador, aisladores de 8 campanas. cinco niveles de crucetas para aisladores y equipos ;P;1;Otro;Otro;14;;Sí;grapas y crucetas;4;1;Doble;;1;1;Aislador;;;;1;1;1;Sí;linepost;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_144607_7378717099806727679.jpg,,,,
2025-05-28 14:28:50;;Akira ;kitaro -akira ;p-01c;4.3413863;-72.715766;conexión pórtico y cruceta red Akira  estructura retención y derivación a pórtico , con cadenas de aisladores y aisladores de campana ;P;1;Retención;Canadiense;14;1050;Sí;grapas ;1;1;Doble;;;;Otro;;;;;;;No;linepost ;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_143230_1625826464926257976.jpg,,,,,
2025-05-28 14:21:15;;Akira ;kitaro -akira ;p-15a;4.3413863;-72.715766;retención triangular sobre una cruceta ;P;1;Retención;Otro;14;1050;Sí;grapas y puente ;1;;Doble;;;;Cadenas de aisladores;;;;;;;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_142146_3078445170702810460.jpg,,,,,,
2025-05-28 14:07:36;;Akira ;kitaro -akira ;p-14a;4.3413863;-72.715766;retención - derivación ;P;1;Retención;Otro;14;1050;Sí;grapas y puentes;1;1;Doble;;;;Cadenas de aisladores;;;;;;;No;linepost ;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_141421_8441529517748599261.jpg,,,,,,
2025-05-28 14:01:49;;Akira ;kitaro -akira ;p-13a;4.3413863;-72.715766;retención - derivación ;P;1;Retención;Otro;14;1050;Sí;grapas y puente ;1;1;Doble;;2;2;Cadenas de aisladores;;;;;;;No;linepost ;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_140655_9023775544718087335.jpg,,,,,,
2025-05-28 13:57:11;;kitaro ;kitaro -akira ;p-12a;4.3413863;-72.715766;paso con dps ;P;1;Otro;Otro;12;;Sí;aisladores y dps ;1;1;Sencilla;;;;Pin;1;1;1;1;1;1;No;;2;;;;/storage/emulated/0/Download/RegistrosExportados/JPEG_20250528_140135_7255680371417658505.jpg,,,,,,
